"","name","year","cpi","unemploy","gdp","oilprice","cementppi","population","concreteid","Cement","Clinker","housing","construction","lime","gasppi","petrocoal","workers","silica"
"1","United States",1998,1.55227909874362,4.51,9062818202000,14.4220717131474,141.933333333333,276154.25,119.87935,83931,74523,1474.2,1850730,20300,83.8916666666667,144.275,73768,28244
"2","United States",1999,2.18802719697358,4.22,9631174489000,19.3449800796813,143.35,279327.583333333,123.707575,85952,76003,1604.9,2034165,19700,91.225,135.716666666667,78537,29111
"3","United States",2000,3.37685727149935,3.99,10250947997000,30.37852,144.458333333333,282398.416666667,124.93265,87846,78138,1573.7,2182547,19600,155.491666666667,135.15,81455,28647
"4","United States",2001,2.82617111885402,4.73,10581929774000,25.98312,147.916666666667,285225.166666667,125.705066666667,88900,78451,1570.8,2418867,18900,171.825,140.075,81918,28072
"5","United States",2002,1.58603162650603,5.78,10929112955000,26.18496,150.075,287954.583333333,126.878766666667,89732,81517,1648.4,2566253,17900,122.516666666667,137.45,80584,27550
"6","United States",2003,2.27009497336113,5.99,11456442041000,31.07524,153.85,290626.25,129.2762,92843,81882,1678.7,2594363,19300,214.475,139.383333333333,80828,27940
"7","United States",2004,2.67723669309173,5.53,12217193198000,41.5060240963855,155.3,293262.333333333,132.86365,97434,86658,1841.9,2639317,20100,245.9,144.25,83678,30190
"8","United States",2005,3.39274684549547,5.08,13039199193000,56.6372509960159,162.141666666667,295992.916666667,139.471333333333,99319,87405,1931.4,2802785,20200,335.358333333333,161.575,88001,31311
"9","United States",2006,3.22594410070407,4.62,13815586948000,66.0546586345382,169.15,298817.666666667,143.8482,98167,88555,1979.4,3063195,21200,280.358333333333,174.7,92275,29755
"10","United States",2007,2.85267248150136,4.62,14474226905000,72.3405952380952,184.958333333333,301696.166666667,142.6459,95464,86130,1502.8,3463922,20400,273.783333333333,179.083333333333,91528,30611
"11","United States",2008,3.83910029665101,5.78,14769857911000,99.6715019762846,191.208333333333,304543.083333333,118.2155,86310,78382,1119.7,3693541,20000,343.975,295.408333333333,85948,30755
"12","United States",2009,-0.35554626629975,9.25,14478064934000,61.9504365079365,197.033333333333,307240.083333333,82.3809916666667,63907,56116,794.4,3772079,16100,159.983333333333,280.975,72208,27595
"13","United States",2010,1.64004344238989,9.63,15048964444000,79.4757142857143,196.125,309838.833333333,80.932325,66447,59802,651.7,3640533,18500,185.841666666667,655.416666666667,66220,32432
"14","United States",2011,3.15684156862206,8.95,15599728123000,94.880873015873,198.008333333333,312295.25,80.5175416666667,67895,61241,584.9,3442978,19400,171.433333333333,904.3,66359,44116
"15","United States",2012,2.06933726526059,8.07,16253972230000,94.0533333333333,200.241666666667,314725.416666667,84.5343,74151,67173,649.2,3347119,19100,117.925,775.108333333333,67746,50906
"16","United States",2013,1.46483265562714,7.37,16843190993000,97.9825396825397,202.366666666667,317099,88.5378916666667,76804,69420,764.4,3241887,19300,153.883333333333,698.683333333333,70285,62261
"17","United States",2014,1.62222297740821,6.17,17550680174000,93.1722222222222,207.008333333333,319600.416666667,93.749325,82535,74372,883.8,3305401,19600,182.4,661.058333333333,73810,110245
"18","United States",2015,0.118627135552435,5.28,18206020741000,48.6567063492063,208.35,322112.666666667,98.006475,84405,76043,968.2,3515013,18300,105.383333333333,581.816666666667,77520,102289
"19","United States",2016,1.26158320570537,4.87,18695110842000,43.2936507936508,215.491666666667,324609.333333333,101.602991666667,84695,75633,1059.7,3570242,17300,96.2333333333333,432.075,80720,79981
"20","United States",2017,2.13011000365963,4.36,19477336549000,50.80032,228.958333333333,326859.666666667,99.9999833333333,86356,76678,1152.9,3562558,17600,118.675,437.225,83605,104366
"21","United States",2018,2.44258329692818,3.9,20533057312000,65.2274698795181,244.291666666667,328794.5,102.192333333333,86400,77112,1184.9,3715888,18000,112.125,595.091666666667,87460,126392
"22","United States",2019,1.81221007526015,3.67,21380976119000,56.98832,252.675,330512.583333333,99.9602166666667,87600,78858,1255.1,4126938,16900,85.5166666666667,527.041666666667,89933,108389
"23","United States",2020,1.23358439630637,8.05,21060473613000,39.1604365079365,260.333333333333,331787.416666667,100.806975,89300,78951,1286.9,4435268,15900,67.4916666666667,474.175,87091,76217
